1,526
10,608
100,542
101,492
102,527
103,480
104,457
105,498
106,500
107,495
108,428
109,450
11,596
110,336
111,513
112,522
113,454
114,546
270,579
271,600
272,616
273,593
274,581
275,602
276,590
277,590
278,588
279,634
28,548
280,625
281,638
282,677
283,713
284,663
285,658
286,723
46,586
47,578
48,582
49,539
5,616
50,558
51,595
52,614
53,583
54,598
55,592
56,565
57,565
58,568
59,552
6,630
60,592
61,573
62,600
115,623
132,660
15,577
167,552
184,599
200,618
218,600
235,629
252,594
27,536
287,713
303,578
320,458
338,664
355,662
372,616
39,619
406,581
45,572
63,609
81,515
64,593
65,587
66,590
67,578
68,578
69,634
7,611
70,629
71,671
72,704
73,657
74,723
75,713
76,666
77,620
78,590
79,511
8,591
80,494
82,524
83,506
84,529
85,541
86,531
87,580
88,578
89,637
9,625
90,615
91,604
92,604
93,627
94,615
95,623
96,561
97,531
98,547
99,551
116,638
117,678
118,680
119,664
12,614
120,651
121,699
122,691
123,726
124,704
125,713
126,715
127,695
128,708
129,712
13,594
130,694
131,635
133,678
134,661
135,675
136,625
137,655
138,677
139,750
14,599
140,746
141,643
142,699
143,719
144,701
145,658
146,601
147,589
148,545
149,551
150,554
151,509
152,582
153,559
154,533
155,494
156,521
157,556
158,531
159,556
16,573
160,560
161,582
162,594
163,603
164,542
165,578
166,583
168,595
169,590
17,533
170,587
171,627
172,710
173,772
174,724
175,724
176,722
177,667
178,520
179,596
18,553
180,495
181,553
182,602
183,648
185,615
186,597
187,554
188,526
189,525
19,552
190,529
191,538
192,561
193,558
194,542
195,564
196,607
197,611
198,615
199,639
2,544
20,586
201,605
202,587
203,625
204,608
205,582
206,603
207,614
208,600
209,586
21,600
210,606
211,577
212,558
213,533
214,557
215,539
216,558
217,576
219,592
22,612
220,617
221,612
222,560
223,456
224,477
225,533
226,543
227,537
228,580
229,552
23,612
230,514
231,496
232,608
233,604
234,608
236,616
237,620
238,633
239,628
24,473
240,625
241,619
242,615
243,579
244,575
245,599
246,599
247,546
248,529
249,583
25,450
250,581
251,581
253,566
254,544
255,559
256,586
257,602
258,604
259,583
26,533
260,598
261,595
262,579
263,563
264,572
265,559
266,552
267,565
268,590
269,561
288,666
289,620
29,582
290,590
291,520
292,502
293,499
294,519
295,526
296,501
297,514
298,557
299,536
3,605
30,541
300,533
301,548
302,589
304,605
305,605
306,605
307,605
308,607
309,635
31,494
310,607
311,602
312,540
313,534
314,547
315,549
316,529
317,500
318,527
319,480
32,573
321,489
322,485
323,495
324,442
325,455
326,428
327,345
328,422
329,513
33,611
330,510
331,454
332,487
333,578
334,618
335,650
336,678
337,680
339,651
34,610
340,691
341,691
342,718
343,729
344,699
345,705
346,718
347,706
348,695
349,687
35,621
350,716
351,701
352,658
353,641
354,654
356,678
357,669
358,657
359,681
36,616
360,625
361,655
362,680
363,693
364,735
365,652
366,643
367,697
368,718
369,720
37,615
370,678
371,658
373,592
374,588
375,558
376,551
377,554
378,526
379,509
38,621
380,582
381,552
382,558
383,494
384,521
385,551
386,556
387,523
388,542
389,563
390,546
391,544
392,561
393,583
394,581
395,594
396,600
397,568
398,525
399,572
4,612
40,579
400,580
401,601
402,575
403,552
404,593
405,598
407,610
408,635
409,622
41,572
410,748
411,772
412,721
413,726
414,730
415,710
416,585
417,503
418,609
419,455
42,609
420,583
421,602
422,648
423,647
424,622
425,605
426,570
43,580
44,514
